Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,Speed1,Speed2,Average1,Average2,Average3,Relative-Speed
13,3,3,3,Short,Vertical,R,0.028,1.80E-04,0.001104771,-0.000924771,1,1.56E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Short,Vertical,L,0.076,4.67E-04,0.001104771,-0.000637771,1,1.93E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Short,Diagonal,R,0.072,2.51E-04,0.001104771,-0.000853771,1,0.01116318,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,1,3,Short,Diagonal,L,0.023,7.75E-05,0.001104771,-0.001027271,1,1.29E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Medium,Horizontal,R,0.066,1.84E-04,0.001104771,-0.000920771,1,1.60E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Medium,Horizontal,L,0.064,1.78E-04,0.001104771,-0.000926771,1,1.01E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,2,3,Medium,Vertical,R,0.088,2.44E-04,0.001104771,-0.000860771,1,0.006601712,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Medium,Vertical,L,0.026,7.24E-05,0.001104771,-0.001032371,1,1.99E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Medium,Diagonal,R,0.096,1.97E-04,0.001104771,-0.000907771,1,1.45E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,3,3,Medium,Diagonal,L,0.03,6.20E-05,0.001104771,-0.001042771,1,1.37E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Long,Horizontal,R,0.087,1.55E-04,0.001104771,-0.000949771,1,1.31E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Long,Horizontal,L,1.046,0.001837258,0.001104771,0.000732487,1,9.71E-05,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Long,Vertical,R,2.008,0.003574238,0.001104771,0.002469467,1,0.018675265,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Long,Vertical,L,0.053,9.54E-05,0.001104771,-0.001009371,1,0.025294546,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Long,Diagonal,R,0.083,1.37E-04,0.001104771,-0.000967771,1,4.28E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,3,Long,Diagonal,L,0.054,8.72E-05,0.001104771,-0.001017571,1,1.81E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Medium,Horizontal,R,0.058,1.55E-04,0.001104771,-0.000949771,1,1.43E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Medium,Horizontal,L,0.049,1.35E-04,0.001104771,-0.000969771,1,0.007636906,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Medium,Vertical,R,0.048,1.32E-04,0.001104771,-0.000972771,1,9.79E-05,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Medium,Vertical,L,0.046,1.28E-04,0.001104771,-0.000976771,1,1.35E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Medium,Diagonal,R,0.049,1.02E-04,0.001104771,-0.001002771,1,1.13E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Medium,Diagonal,L,0.081,1.98E-04,0.001104771,-0.000906771,1,1.78E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Short,Horizontal,R,0.066,4.02E-04,0.001104771,-0.000702771,1,2.07E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Short,Horizontal,L,0.048,3.41E-04,0.001104771,-0.000763771,1,2.34E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Short,Vertical,R,0.023,1.14E-04,0.001104771,-0.000990771,1,1.99E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,1,3,Short,Vertical,L,2.075,0.012255813,0.001104771,0.011151042,1,0.002974635,0.006195928,2.48E-03,5.74E-04,-3.72E-03
13,3,2,3,Short,Diagonal,R,0.068,2.41E-04,0.001104771,-0.000863771,1,0.002772183,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,2,3,Short,Diagonal,L,0.035,1.27E-04,0.001104771,-0.000977771,1,1.88E-04,0.006195928,2.48E-03,5.74E-04,-1.91E-03
13,3,3,3,Medium,Horizontal,R,0.038,9.14E-05,0.001104771,-0.001013371,1,0.001783292,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,3,3,Medium,Horizontal,L,0.023,6.31E-05,0.001104771,-0.001041671,1,1.35E-04,0.006195928,2.48E-03,5.74E-04,-5.62E-03
13,3,1,3,Medium,Vertical,R,0.063,1.77E-04,0.001104771,-0.000927771,1,1.24E-04,0.006195928,2.48E-03,5.74E-04,-3.72E-03
