Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2
2,2,1,4,Short,Vertical,R,0.046,2.72E-04
2,2,2,4,Short,Vertical,L,0.019,1.01E-04
2,2,1,4,Short,Diagonal,R,0.04,1.46E-04
2,2,2,4,Short,Diagonal,L,0.034,1.51E-04
2,2,1,4,Medium,Horizontal,R,0.026,6.79E-05
2,2,2,4,Medium,Horizontal,L,0.033,8.98E-05
2,2,1,4,Medium,Vertical,R,0.062,1.66E-04
2,2,2,4,Medium,Vertical,L,0.037,1.00E-04
2,2,1,4,Medium,Diagonal,R,0.028,6.17E-05
2,2,2,4,Medium,Diagonal,L,0.032,8.29E-05
2,2,1,4,Long,Horizontal,R,0.05,8.44E-05
2,2,2,4,Long,Horizontal,L,0.055,9.74E-05
2,2,1,4,Long,Vertical,R,0.07,1.21E-04
2,2,2,4,Long,Vertical,L,0.053,9.47E-05
2,2,1,4,Long,Diagonal,R,0.059,8.69E-05
2,2,2,4,Long,Diagonal,L,0.04,6.74E-05
2,2,1,4,Short,Horizontal,R,0.014,8.64E-05
2,2,2,4,Short,Horizontal,L,0.013,7.98E-05
2,2,1,4,Short,Vertical,R,0.014,8.42E-05
2,2,2,4,Short,Vertical,L,0.029,1.73E-04
2,2,1,4,Short,Diagonal,R,0.016,7.77E-05
2,2,2,4,Short,Diagonal,L,0.02,9.48E-05
2,2,1,4,Medium,Horizontal,R,0.03,8.25E-05
2,2,2,4,Medium,Horizontal,L,0.036,9.91E-05
2,2,1,4,Medium,Vertical,R,0.039,1.04E-04
2,2,2,4,Medium,Vertical,L,0.043,1.16E-04
2,2,1,4,Medium,Diagonal,R,0.041,8.77E-05
2,2,2,4,Medium,Diagonal,L,0.02,5.20E-05
2,2,1,4,Long,Horizontal,R,0.039,6.97E-05
2,2,2,4,Long,Horizontal,L,0.069,1.23E-04
2,2,1,4,Long,Vertical,R,0.051,9.09E-05
2,2,2,4,Long,Vertical,L,0.044,7.76E-05
2,2,1,4,Long,Diagonal,R,0.053,8.33E-05
2,2,2,4,Long,Diagonal,L,0.054,9.04E-05
3,2,1,1,Short,Horizontal,R,0.025,1.70E-04
3,2,1,1,Short,Horizontal,L,0.032,1.88E-04
3,2,1,1,Short,Vertical,R,6.073,0.04336751
3,2,1,1,Short,Vertical,L,0.007,4.07E-05
3,2,1,1,Short,Diagonal,R,0.014,6.17E-05
3,2,1,1,Short,Diagonal,L,0.039,1.35E-04
3,2,1,1,Medium,Horizontal,R,0.007,1.81E-05
3,2,1,1,Medium,Horizontal,L,0.014,3.88E-05
3,2,1,1,Medium,Vertical,R,1.005,0.002773725
3,2,1,1,Medium,Vertical,L,0.025,7.01E-05
3,2,1,1,Medium,Diagonal,R,0.023,6.25E-05
3,2,1,1,Medium,Diagonal,L,0.047,1.22E-04
3,2,1,1,Long,Horizontal,R,0.04,7.10E-05
3,2,1,1,Long,Horizontal,L,1,0.001794803
3,2,1,1,Long,Vertical,R,0.064,1.13E-04
3,2,1,1,Long,Vertical,L,0.088,1.58E-04
3,2,1,1,Long,Diagonal,R,1.006,0.001659763
3,2,1,1,Long,Diagonal,L,0.094,1.55E-04
3,2,2,1,Short,Horizontal,R,0.023,1.43E-04
3,2,2,1,Short,Horizontal,L,0.033,2.00E-04
3,2,2,1,Short,Vertical,R,0.011,6.38E-05
3,2,2,1,Short,Vertical,L,0.03,1.86E-04
3,2,2,1,Short,Diagonal,R,4.079,0.017435286
3,2,2,1,Short,Diagonal,L,0.037,1.53E-04
3,2,2,1,Medium,Horizontal,R,0.041,1.13E-04
3,2,2,1,Medium,Horizontal,L,0.066,1.78E-04
3,2,2,1,Medium,Vertical,R,0.024,6.37E-05
3,2,2,1,Medium,Vertical,L,1.018,0.003009609
3,2,2,1,Medium,Diagonal,R,1.036,0.002955552
3,2,2,1,Medium,Diagonal,L,0.008,1.87E-05
3,2,2,1,Long,Horizontal,R,0.04,7.24E-05
3,2,2,1,Long,Horizontal,L,0.037,6.67E-05
3,2,2,1,Long,Vertical,R,0.045,8.21E-05
3,2,2,1,Long,Vertical,L,0.012,2.11E-05
3,2,2,1,Long,Diagonal,R,0.047,8.03E-05
3,2,2,1,Long,Diagonal,L,0.076,1.27E-04
3,2,1,2,Short,Horizontal,R,0.004,2.03E-05
3,2,1,2,Long,Diagonal,L,2.032,0.003331954
3,2,2,2,Short,Horizontal,L,0.074,5.22E-04
3,2,2,2,Long,Diagonal,R,4.077,0.006452888
3,2,1,2,Short,Vertical,R,0.063,3.54E-04
3,2,1,2,Long,Vertical,L,0.03,5.26E-05
3,2,1,2,Short,Vertical,L,0.006,3.41E-05
3,2,1,2,Long,Vertical,R,0.02,3.56E-05
3,2,2,2,Short,Diagonal,R,0.041,1.77E-04
3,2,2,2,Long,Horizontal,L,0.03,5.67E-05
3,2,1,2,Short,Diagonal,L,0.092,5.35E-04
3,2,1,2,Long,Horizontal,R,0.043,8.05E-05
3,2,2,2,Medium,Horizontal,R,0.067,1.96E-04
3,2,2,2,Medium,Diagonal,L,0.075,2.24E-04
3,2,1,2,Medium,Horizontal,L,0.011,2.90E-05
3,2,1,2,Medium,Diagonal,R,0.031,7.90E-05
3,2,2,2,Medium,Vertical,R,0.049,1.35E-04
3,2,2,2,Medium,Vertical,L,0.066,1.95E-04
3,2,1,2,Medium,Vertical,L,0.039,1.08E-04
3,2,1,2,Medium,Vertical,R,0.009,2.40E-05
3,2,2,2,Medium,Diagonal,R,0.009,2.10E-05
3,2,2,2,Medium,Horizontal,L,4.018,0.011344219
3,2,1,2,Medium,Diagonal,L,0.026,6.99E-05
3,2,1,2,Medium,Horizontal,R,1.026,0.002978483
3,2,2,2,Long,Horizontal,R,0.052,9.15E-05
3,2,2,2,Short,Diagonal,L,1.059,0.004631702
3,2,1,2,Long,Horizontal,L,0.042,7.48E-05
3,2,1,2,Short,Diagonal,R,0.007,3.33E-05
3,2,2,2,Long,Vertical,R,0.041,7.36E-05
3,2,2,2,Short,Vertical,L,1.086,0.00634914
3,2,1,2,Long,Vertical,L,0.05,8.86E-05
3,2,1,2,Short,Vertical,R,0.019,1.03E-04
3,2,2,2,Long,Diagonal,R,0.013,2.21E-05
3,2,2,2,Short,Horizontal,L,0.027,1.51E-04
3,2,1,2,Long,Diagonal,L,0.023,3.92E-05
3,2,1,2,Short,Horizontal,R,1.024,0.007910462
3,2,1,3,Short,Horizontal,R,1.076,0.00777671
3,2,2,3,Short,Horizontal,L,0.01,5.95E-05
3,2,1,3,Short,Vertical,R,0.008,4.62E-05
3,2,2,3,Short,Vertical,L,0.014,8.75E-05
3,2,1,3,Short,Diagonal,R,0.008,3.80E-05
3,2,2,3,Short,Diagonal,L,0.009,4.44E-05
3,2,1,3,Medium,Horizontal,R,0.019,5.01E-05
