Participant,Speeds-Count,Speed1,Block,Distance,Direction,LToR-or-RToL,Execution-time,Speed2,Average,Reg,OverAllAverage,Relative-Speed,Average1,Average2,average11,Speed1,Speed2
1,2,2,3,Short,Horizontal,L,0.017,1.04E-04,0.003373259,-0.003269259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.0059567
1,2,1,3,Short,Vertical,R,1.009,0.00630428,0.003373259,0.002931021,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,4.63E-05
1,2,2,3,Short,Vertical,L,0.023,1.41E-04,0.003373259,-0.003232259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,4.44E-04
1,2,1,3,Short,Diagonal,R,0.055,2.73E-04,0.003373259,-0.003100259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,4.59E-04
1,2,2,3,Short,Diagonal,L,0.035,1.71E-04,0.003373259,-0.003202259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,0.031162098
1,2,1,3,Medium,Horizontal,R,1.028,0.002852739,0.003373259,-0.00052052,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.020284768
1,2,2,3,Medium,Horizontal,L,0.023,6.28E-05,0.003373259,-0.003310459,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,5.62E-04
1,2,1,3,Medium,Vertical,R,1.025,0.002844754,0.003373259,-0.000528505,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,0.006660419
1,2,2,3,Medium,Vertical,L,0.03,8.35E-05,0.003373259,-0.003289759,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.52E-04
1,2,1,3,Medium,Diagonal,R,1.054,0.002487032,0.003373259,-0.000886227,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.46E-04
1,2,2,3,Medium,Diagonal,L,0.03,7.32E-05,0.003373259,-0.003300059,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,6.99E-05
1,2,1,3,Long,Horizontal,R,1.088,0.001918931,0.003373259,-0.001454328,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,7.45E-05
1,2,2,3,Long,Horizontal,L,0.068,1.21E-04,0.003373259,-0.003252259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.73E-05
1,2,1,3,Long,Vertical,R,3.036,0.005416034,0.003373259,0.002042775,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,5.11E-05
1,2,2,3,Long,Vertical,L,0.09,1.61E-04,0.003373259,-0.003212259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.02E-04
1,2,1,3,Long,Diagonal,R,2.037,0.003373122,0.003373259,-1.37E-07,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,4.73E-05
1,2,2,3,Long,Diagonal,L,0.047,7.98E-05,0.003373259,-0.003293459,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,9.57E-05
1,2,1,3,Short,Horizontal,R,0.07,4.40E-04,0.003373259,-0.002933259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.09E-04
1,2,2,3,Short,Horizontal,L,0.01,6.21E-05,0.003373259,-0.003311159,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.29E-05
1,2,1,3,Short,Vertical,R,0.057,3.49E-04,0.003373259,-0.003024259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,7.80E-05
1,2,2,3,Short,Vertical,L,0.018,1.12E-04,0.003373259,-0.003261259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.64E-05
1,2,1,3,Short,Diagonal,R,0.053,2.51E-04,0.003373259,-0.003122259,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,5.97E-05
1,2,2,3,Short,Diagonal,L,0.047,2.39E-04,0.003373259,-0.003134259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,1.46E-04
1,2,1,3,Medium,Horizontal,R,1.049,0.002913709,0.003373259,-0.00045955,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.20E-04
1,2,2,3,Medium,Horizontal,L,0.037,1.03E-04,0.003373259,-0.003270259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,7.97E-05
1,2,1,3,Medium,Vertical,R,2.055,0.005708113,0.003373259,0.002334854,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.25E-04
1,2,2,3,Medium,Vertical,L,0.031,8.52E-05,0.003373259,-0.003288059,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,7.72E-05
1,2,1,3,Medium,Diagonal,R,2.02,0.004899205,0.003373259,0.001525946,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,7.39E-05
1,2,2,3,Medium,Diagonal,L,0.03,7.43E-05,0.003373259,-0.003298959,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,7.39E-05
1,2,1,3,Long,Horizontal,R,2.097,0.003722617,0.003373259,0.000349358,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.04E-04
1,2,2,3,Long,Horizontal,L,0.06,1.07E-04,0.003373259,-0.003266259,0.003181082,0.000875,0.005273526,8.75E-04,3.07E-03,1,8.63E-05
1,2,1,3,Long,Vertical,R,3.006,0.00534773,0.003373259,0.001974471,0.003181082,0.005273526,0.005273526,8.75E-04,3.07E-03,1,1.18E-04
